model_type,horizon,split,score_type,score
Average,3,1,aucroc,0.7847721474953618
Average,2,1,aucroc,0.824204335793358
Average,1,1,aucroc,0.8849431818181818
Average,0,1,aucroc,0.8986061151079137
Softmax,7,1,auprc,0.4876782253599114
Softmax,6,1,auprc,0.5026899121815167
Softmax,5,1,auprc,0.512580677692618
Softmax,4,1,auprc,0.520799739319626
Softmax,3,1,auprc,0.5338671227197347
Softmax,2,1,auprc,0.5675037960728846
Softmax,1,1,auprc,0.64095582247557
Softmax,0,1,auprc,0.6544779286926995
Softmax,7,1,aucroc,0.7258654739776952
Softmax,6,1,aucroc,0.7388247912801484
Softmax,5,1,aucroc,0.7466372912801484
Softmax,4,1,aucroc,0.7535221474953618
Softmax,3,1,aucroc,0.763189935064935
Softmax,2,1,aucroc,0.7920318265682657
Softmax,1,1,aucroc,0.8546022727272727
Softmax,0,1,aucroc,0.8682553956834531
Reversed softmax,7,1,auprc,0.5067530049647244
Reversed softmax,6,1,auprc,0.5184338723051409
Reversed softmax,5,1,auprc,0.5243967767455241
Reversed softmax,4,1,auprc,0.536482130165499
Reversed softmax,3,1,auprc,0.538586064522747
Reversed softmax,2,1,auprc,0.5997166812269462
Reversed softmax,1,1,auprc,0.6617588934618658
Reversed softmax,0,1,auprc,0.6812397484964462
Reversed softmax,7,1,aucroc,0.7319934944237918
Reversed softmax,6,1,aucroc,0.7439993042671614
Reversed softmax,5,1,aucroc,0.7499565166975881
Reversed softmax,4,1,aucroc,0.7586966604823748
Reversed softmax,3,1,aucroc,0.7596243042671615
Reversed softmax,2,1,aucroc,0.8077144833948339
Reversed softmax,1,1,aucroc,0.8613352272727273
Reversed softmax,0,1,aucroc,0.8817446043165469
Baseline,7,2,auprc,0.3230619283250862
Baseline,6,2,auprc,0.3576754385964912
Baseline,5,2,auprc,0.38547681967961894
Baseline,4,2,auprc,0.4019587486157254
Baseline,3,2,auprc,0.3978678299870353
Baseline,2,2,auprc,0.40165087863811094
Baseline,1,2,auprc,0.4453688598876201
Baseline,0,2,auprc,0.5112495927012055
Baseline,7,2,aucroc,0.563963779956427
Baseline,6,2,aucroc,0.5741758241758241
Baseline,5,2,aucroc,0.5760207190737356
Baseline,4,2,aucroc,0.5769464720194648
Baseline,3,2,aucroc,0.5686195286195287
Baseline,2,2,aucroc,0.5770042194092828
Baseline,1,2,aucroc,0.6039554760484994
Baseline,0,2,aucroc,0.63270514330585
Tuned,7,2,auprc,0.4596262232131797
Tuned,6,2,auprc,0.4503703703703703
Tuned,5,2,auprc,0.454815795795116
Tuned,4,2,auprc,0.4734043488196312
